X,CH1,Start,Increment,
Sequence,Volt,-1.500000e-01,2.000000e-04
182,-1.84e-01,
183,1.24e-01,
184,1.36e-01,
185,-1.92e-01,
186,-1.60e-01,
187,1.48e-01,
188,1.60e-01,
189,-2.08e-01,
190,1.64e-01,
191,-2.32e-01,
192,1.52e-01,
193,-2.16e-01,
194,1.64e-01,
195,-2.00e-01,
196,-1.80e-01,
197,1.56e-01,
198,-1.68e-01,
199,1.52e-01,
200,-1.56e-01,
201,1.64e-01,
202,1.20e-01,
203,-1.76e-01,
204,-1.68e-01,
205,1.68e-01,
206,1.40e-01,
207,-1.48e-01,
208,1.36e-01,
209,-1.72e-01,
210,1.36e-01,
211,-1.72e-01,
212,-1.68e-01,
213,1.28e-01,
214,-1.72e-01,
215,1.52e-01,
216,-1.88e-01,
217,1.56e-01,
218,-1.80e-01,
219,1.80e-01,
220,-2.32e-01,
221,1.76e-01,
222,-2.00e-01,
223,1.88e-01,
224,1.76e-01,
225,-2.24e-01,
226,1.68e-01,
227,-2.48e-01,
228,1.68e-01,
229,-2.00e-01,
230,1.84e-01,
231,-2.32e-01,
232,-1.92e-01,
233,1.64e-01,
234,-2.64e-01,
235,1.68e-01,
236,1.52e-01,
237,-1.76e-01,
238,8.80e-02,
239,-1.80e-01,
240,-1.88e-01,
241,1.32e-01,
242,-1.84e-01,
243,1.20e-01,
244,-1.88e-01,
245,1.28e-01,
246,-1.56e-01,
247,1.40e-01,
248,-1.76e-01,
249,1.32e-01,
250,-1.52e-01,
251,1.08e-01,
252,1.44e-01,
253,-1.96e-01,
254,1.32e-01,
255,-1.64e-01,
256,-2.08e-01,
257,1.48e-01,
258,1.20e-01,
259,-1.64e-01,
260,-1.96e-01,
261,1.28e-01,
262,-2.00e-01,
263,1.40e-01,
264,1.36e-01,
265,-1.92e-01,
266,-1.72e-01,
267,1.44e-01,
268,-1.76e-01,
269,1.44e-01,
270,1.64e-01,
271,-2.04e-01,
272,1.48e-01,
273,-2.24e-01,
274,-1.72e-01,
275,1.64e-01,
276,-2.20e-01,
277,1.80e-01,
278,-1.96e-01,
279,1.56e-01,
280,1.60e-01,
281,-1.64e-01,
282,-1.60e-01,
283,1.64e-01,
284,1.64e-01,
285,-1.88e-01,
286,1.36e-01,
287,-1.88e-01,
288,1.56e-01,
289,-1.88e-01,
290,-1.68e-01,
291,1.44e-01,
292,1.44e-01,
293,-1.44e-01,
294,-1.56e-01,
295,1.48e-01,
296,1.36e-01,
297,-1.76e-01,
298,1.40e-01,
299,-1.64e-01,
300,1.44e-01,
301,-1.72e-01,
302,1.40e-01,
303,-1.96e-01,
304,1.80e-01,
305,-1.92e-01,
306,-1.96e-01,
307,1.80e-01,
308,-2.36e-01,
309,1.84e-01,
310,1.52e-01,
311,-2.40e-01,
312,1.72e-01,
313,-2.32e-01,
314,1.68e-01,
315,-2.40e-01,
316,1.80e-01,
317,-2.20e-01,
318,1.68e-01,
319,-2.40e-01,
320,1.28e-01,
321,-1.80e-01,
322,1.24e-01,
323,-1.92e-01,
324,-1.88e-01,
325,1.24e-01,
326,-1.60e-01,
327,1.48e-01,
328,1.40e-01,
329,-1.92e-01,
330,-1.80e-01,
331,9.60e-02,
332,1.12e-01,
333,-1.40e-01,
334,1.32e-01,
335,-1.96e-01,
336,1.48e-01,
337,-1.96e-01,
338,-2.16e-01,
339,1.24e-01,
340,-2.04e-01,
341,1.36e-01,
342,1.24e-01,
343,-1.80e-01,
344,1.32e-01,
345,-1.84e-01,
346,1.20e-01,
347,-1.88e-01,
348,-1.76e-01,
349,1.32e-01,
350,-1.84e-01,
351,1.44e-01,
352,-1.92e-01,
353,1.72e-01,
354,-2.20e-01,
355,1.64e-01,
356,-2.32e-01,
357,1.72e-01,
358,-2.24e-01,
359,1.80e-01,
360,1.88e-01,
361,-1.96e-01,
362,1.68e-01,
363,-1.56e-01,
364,-1.88e-01,
365,1.56e-01,
366,-1.88e-01,
367,1.52e-01,
368,1.48e-01,
369,-1.88e-01,
370,-1.64e-01,
371,1.64e-01,
372,1.60e-01,
373,-1.76e-01,
374,1.40e-01,
375,-1.40e-01,
376,1.56e-01,
377,-1.60e-01,
378,1.40e-01,
379,-1.76e-01,
380,-1.68e-01,
381,1.32e-01,
382,1.44e-01,
383,-1.68e-01,
384,1.40e-01,
385,-1.84e-01,
386,-1.88e-01,
387,1.56e-01,
388,-2.16e-01,
389,1.44e-01,
390,1.56e-01,
391,-2.32e-01,
392,1.56e-01,
393,-2.32e-01,
394,1.68e-01,
395,-2.44e-01,
396,-1.96e-01,
397,1.80e-01,
398,1.68e-01,
399,-2.36e-01,
400,1.76e-01,
401,-2.48e-01,
402,-1.96e-01,
403,1.24e-01,
404,1.48e-01,
405,-2.00e-01,
406,1.24e-01,
407,-1.88e-01,
408,1.48e-01,
409,-1.64e-01,
410,1.36e-01,
411,-1.84e-01,
412,1.36e-01,
413,-1.76e-01,
414,-1.48e-01,
415,1.36e-01,
416,-1.88e-01,
417,1.16e-01,
418,-1.76e-01,
419,1.44e-01,
420,1.36e-01,
421,-1.64e-01,
422,1.40e-01,
423,-2.00e-01,
424,-1.60e-01,
425,1.40e-01,
426,-1.84e-01,
427,1.36e-01,
428,1.40e-01,
429,-2.00e-01,
430,-1.96e-01,
431,1.48e-01,
432,1.32e-01,
433,-1.64e-01,
434,-1.80e-01,
435,1.52e-01,
436,-2.04e-01,
437,1.52e-01,
438,1.80e-01,
439,-2.52e-01,
440,-2.28e-01,
441,1.60e-01,
442,-1.96e-01,
443,1.80e-01,
444,1.60e-01,
445,-2.04e-01,
446,1.60e-01,
447,-1.96e-01,
448,1.68e-01,
449,-1.68e-01,
450,-1.76e-01,
451,1.56e-01,
452,-1.84e-01,
453,1.60e-01,
454,-1.84e-01,
455,1.56e-01,
456,-1.52e-01,
457,1.40e-01,
458,1.32e-01,
459,-1.56e-01,
460,-1.60e-01,
461,1.52e-01,
462,-1.80e-01,
463,1.40e-01,
464,-1.40e-01,
465,1.36e-01,
466,-1.80e-01,
467,1.32e-01,
468,1.36e-01,
469,-1.68e-01,
470,1.52e-01,
471,-1.80e-01,
472,1.64e-01,
473,-1.80e-01,
474,1.64e-01,
475,-2.04e-01,
476,1.72e-01,
477,-2.04e-01,
478,1.72e-01,
479,-2.32e-01,
480,1.84e-01,
481,-2.32e-01,
482,1.76e-01,
483,-2.44e-01,
484,1.68e-01,
485,-2.28e-01,
486,1.56e-01,
487,-1.84e-01,
488,-1.64e-01,
489,1.40e-01,
490,-1.64e-01,
491,1.52e-01,
492,-1.72e-01,
493,1.40e-01,
494,-1.80e-01,
495,1.40e-01,
496,1.32e-01,
497,-1.84e-01,
498,1.40e-01,
499,-1.80e-01,
500,-1.56e-01,
501,1.40e-01,
502,-1.84e-01,
503,1.36e-01,
504,-1.96e-01,
505,1.36e-01,
506,1.24e-01,
507,-1.92e-01,
508,1.28e-01,
509,-2.04e-01,
510,-1.68e-01,
511,1.40e-01,
512,1.28e-01,
513,-1.84e-01,
514,1.28e-01,
515,-1.88e-01,
516,1.48e-01,
517,-1.88e-01,
518,-2.24e-01,
519,1.52e-01,
520,1.84e-01,
521,-2.48e-01,
522,-2.40e-01,
523,1.80e-01,
524,1.60e-01,
525,-2.44e-01,
526,-2.48e-01,
527,1.84e-01,
528,1.68e-01,
529,-2.00e-01,
530,-1.36e-01,
531,8.80e-02,
532,-1.64e-01,
533,1.72e-01,
534,-1.28e-01,
535,1.68e-01,
536,1.64e-01,
537,-1.76e-01,
538,-1.52e-01,
539,1.52e-01,
540,1.48e-01,
541,-1.52e-01,
542,-1.80e-01,
543,1.32e-01,
544,-1.76e-01,
545,1.36e-01,
546,-1.76e-01,
547,1.40e-01,
548,-1.84e-01,
549,1.32e-01,
550,-1.80e-01,
551,1.36e-01,
552,-1.72e-01,
553,1.40e-01,
554,1.36e-01,
555,-1.72e-01,
556,1.20e-01,
557,-1.84e-01,
558,-2.08e-01,
559,1.76e-01,
560,-2.04e-01,
561,1.68e-01,
562,1.68e-01,
563,-2.08e-01,
564,1.60e-01,
565,-2.08e-01,
566,-2.20e-01,
567,1.80e-01,
568,-2.00e-01,
569,1.56e-01,
570,1.48e-01,
571,-1.88e-01,
572,-1.52e-01,
573,1.44e-01,
574,-2.00e-01,
575,1.40e-01,
576,1.52e-01,
577,-1.48e-01,
578,1.44e-01,
579,-1.48e-01,
580,1.44e-01,
581,-1.96e-01,
582,1.48e-01,
583,-1.52e-01,
584,-1.88e-01,
585,1.28e-01,
586,1.36e-01,
587,-1.76e-01,
588,1.32e-01,
589,-1.60e-01,
590,-1.96e-01,
591,1.48e-01,
592,1.28e-01,
593,-1.92e-01,
594,1.32e-01,
595,-1.60e-01,
596,-1.60e-01,
597,1.44e-01,
598,-1.72e-01,
599,1.40e-01,
600,1.72e-01,
601,-2.04e-01,
602,-2.32e-01,
603,1.72e-01,
604,-2.44e-01,
605,1.84e-01,
606,1.76e-01,
607,-2.60e-01,
608,-2.28e-01,
609,1.84e-01,
610,1.64e-01,
611,-2.56e-01,
612,-1.92e-01,
613,1.60e-01,
614,-1.88e-01,
615,1.56e-01,
616,1.68e-01,
617,-1.68e-01,
618,-1.60e-01,
619,1.68e-01,
620,-1.76e-01,
621,1.72e-01,
622,-1.72e-01,
623,1.48e-01,
624,1.40e-01,
625,-1.80e-01,
626,-1.76e-01,
627,1.24e-01,
628,-1.80e-01,
629,1.36e-01,
630,-1.60e-01,
631,1.40e-01,
632,1.36e-01,
633,-1.76e-01,
634,1.40e-01,
635,-1.64e-01,
636,1.44e-01,
637,-1.68e-01,
638,1.44e-01,
639,-1.88e-01,
640,-1.84e-01,
641,1.52e-01,
642,1.40e-01,
643,-2.00e-01,
644,1.60e-01,
645,-2.00e-01,
646,1.76e-01,
647,-2.16e-01,
648,1.64e-01,
649,-2.36e-01,
650,1.60e-01,
651,-2.44e-01,
652,-1.64e-01,
653,1.52e-01,
654,1.64e-01,
655,-1.52e-01,
656,1.32e-01,
657,-2.04e-01,
658,-1.36e-01,
659,1.44e-01,
660,-1.88e-01,
661,1.52e-01,
662,1.20e-01,
663,-1.44e-01,
664,1.52e-01,
665,-1.44e-01,
666,-1.96e-01,
667,1.48e-01,
668,1.44e-01,
669,-1.92e-01,
670,1.12e-01,
671,-1.60e-01,
672,-2.08e-01,
673,1.44e-01,
674,1.32e-01,
675,-1.76e-01,
676,1.28e-01,
677,-1.64e-01,
678,-1.80e-01,
679,1.32e-01,
680,-1.80e-01,
681,1.48e-01,
682,1.44e-01,
683,-2.12e-01,
684,1.80e-01,
685,-2.28e-01,
686,1.88e-01,
687,-2.32e-01,
688,-2.40e-01,
689,1.76e-01,
690,1.68e-01,
691,-2.60e-01,
692,1.76e-01,
693,-2.40e-01,
694,2.04e-01,
695,-2.00e-01,
696,1.64e-01,
697,-1.52e-01,
698,1.68e-01,
699,-1.76e-01,
700,1.52e-01,
701,-1.72e-01,
702,1.64e-01,
703,-1.72e-01,
704,-1.52e-01,
705,1.56e-01,
706,-1.76e-01,
707,1.20e-01,
708,-1.96e-01,
709,1.56e-01,
710,1.32e-01,
711,-1.80e-01,
712,-1.88e-01,
713,1.32e-01,
714,-1.88e-01,
715,1.36e-01,
716,1.40e-01,
717,-1.56e-01,
718,-1.84e-01,
719,1.40e-01,
720,1.32e-01,
721,-1.92e-01,
722,-1.96e-01,
723,1.44e-01,
724,1.36e-01,
725,-1.84e-01,
726,1.44e-01,
727,-1.76e-01,
728,1.52e-01,
729,-2.04e-01,
730,1.52e-01,
731,-1.96e-01,
732,1.68e-01,
733,-1.76e-01,
734,1.76e-01,
735,-1.96e-01,
736,1.52e-01,
737,-2.12e-01,
738,-1.68e-01,
739,1.40e-01,
740,1.36e-01,
741,-1.84e-01,
742,1.44e-01,
743,-1.92e-01,
744,-1.92e-01,
745,1.36e-01,
746,-1.48e-01,
747,1.56e-01,
748,1.44e-01,
749,-1.72e-01,
750,1.44e-01,
751,-1.92e-01,
752,1.28e-01,
753,-1.88e-01,
754,-1.96e-01,
755,1.40e-01,
756,-2.04e-01,
757,1.36e-01,
758,-1.68e-01,
759,1.52e-01,
760,1.40e-01,
761,-1.88e-01,
762,1.44e-01,
763,-1.84e-01,
764,-1.88e-01,
765,1.64e-01,
766,1.72e-01,
767,-2.48e-01,
768,1.80e-01,
769,-2.52e-01,
770,-2.64e-01,
771,1.92e-01,
772,1.88e-01,
773,-2.60e-01,
774,1.68e-01,
775,-2.04e-01,
776,2.00e-01,
777,-2.40e-01,
778,1.84e-01,
779,-1.92e-01,
780,-1.72e-01,
781,1.64e-01,
782,1.36e-01,
783,-1.64e-01,
784,1.60e-01,
785,-1.84e-01,
786,1.68e-01,
787,-1.84e-01,
788,-1.92e-01,
789,1.44e-01,
790,-1.84e-01,
791,1.52e-01,
792,-1.80e-01,
793,1.28e-01,
794,-1.64e-01,
795,1.36e-01,
796,1.36e-01,
797,-1.76e-01,
798,-1.64e-01,
799,1.44e-01,
800,-1.88e-01,
801,1.32e-01,
802,-2.00e-01,
803,1.40e-01,
804,-1.96e-01,
805,1.44e-01,
806,-1.72e-01,
807,1.24e-01,
808,-1.72e-01,
809,1.40e-01,
810,-1.96e-01,
811,1.48e-01,
812,-2.04e-01,
813,1.44e-01,
814,-1.96e-01,
815,1.64e-01,
816,1.72e-01,
817,-2.24e-01,
818,1.40e-01,
819,-2.08e-01,
820,1.60e-01,
821,-1.88e-01,
822,1.44e-01,
823,-1.80e-01,
824,-2.00e-01,
825,1.48e-01,
826,1.40e-01,
827,-1.96e-01,
828,-2.00e-01,
829,1.48e-01,
830,-1.72e-01,
831,1.56e-01,
832,1.04e-01,
833,-1.72e-01,
834,-1.84e-01,
835,1.36e-01,
836,-1.96e-01,
837,1.36e-01,
838,1.52e-01,
839,-1.60e-01,
840,1.48e-01,
841,-2.00e-01,
842,-1.92e-01,
843,1.40e-01,
844,-1.84e-01,
845,1.52e-01,
846,-1.84e-01,
847,1.64e-01,
848,-2.00e-01,
849,1.72e-01,
850,1.88e-01,
851,-2.40e-01,
852,-2.72e-01,
853,1.96e-01,
854,1.88e-01,
855,-2.64e-01,
856,-2.68e-01,
857,1.68e-01,
858,-2.16e-01,
859,1.80e-01,
860,1.76e-01,
861,-2.52e-01,
862,-1.76e-01,
863,1.44e-01,
864,1.32e-01,
865,-1.84e-01,
866,-2.00e-01,
867,1.24e-01,
868,1.64e-01,
869,-1.68e-01,
870,-1.88e-01,
871,1.68e-01,
872,-1.96e-01,
873,1.40e-01,
874,-1.92e-01,
875,1.32e-01,
876,1.40e-01,
877,-1.96e-01,
878,1.36e-01,
879,-1.68e-01,
880,1.40e-01,
881,-2.00e-01,
882,1.32e-01,
883,-1.72e-01,
884,-1.72e-01,
885,1.40e-01,
886,-1.80e-01,
887,1.44e-01,
888,1.24e-01,
889,-2.04e-01,
890,1.24e-01,
891,-1.72e-01,
892,1.52e-01,
893,-1.84e-01,
894,-1.88e-01,
895,1.36e-01,
896,1.40e-01,
897,-2.00e-01,
898,1.48e-01,
899,-1.92e-01,
900,1.72e-01,
901,-2.16e-01,
902,-1.92e-01,
903,1.48e-01,
904,1.72e-01,
905,-1.52e-01,
906,-2.04e-01,
907,1.52e-01,
908,-1.68e-01,
909,1.32e-01,
910,1.40e-01,
911,-1.60e-01,
912,-1.76e-01,
913,1.36e-01,
914,-1.80e-01,
915,1.48e-01,
916,1.40e-01,
917,-1.84e-01,
918,-1.84e-01,
919,1.44e-01,
920,1.52e-01,
921,-1.92e-01,
922,1.40e-01,
923,-1.80e-01,
924,-1.52e-01,
925,1.36e-01,
926,-1.80e-01,
927,1.40e-01,
928,1.44e-01,
929,-1.56e-01,
930,1.36e-01,
931,-2.24e-01,
932,1.68e-01,
933,-2.60e-01,
934,-2.60e-01,
935,1.88e-01,
936,1.92e-01,
937,-2.64e-01,
938,1.76e-01,
939,-2.36e-01,
940,1.68e-01,
941,-2.28e-01,
942,-2.32e-01,
943,1.76e-01,
944,-2.68e-01,
945,1.92e-01,
946,-1.80e-01,
947,1.32e-01,
948,-1.80e-01,
949,1.60e-01,
950,1.64e-01,
951,-1.96e-01,
952,1.76e-01,
953,-1.76e-01,
954,1.76e-01,
955,-1.92e-01,
956,-2.08e-01,
957,1.48e-01,
958,1.52e-01,
959,-1.96e-01,
960,1.56e-01,
961,-1.68e-01,
962,-2.04e-01,
963,1.56e-01,
964,1.40e-01,
965,-1.96e-01,
966,1.36e-01,
967,-1.64e-01,
968,-2.00e-01,
969,1.44e-01,
970,1.36e-01,
971,-1.96e-01,
972,1.32e-01,
973,-1.92e-01,
974,1.48e-01,
975,-1.80e-01,
976,-1.88e-01,
977,1.28e-01,
978,-1.88e-01,
979,1.40e-01,
980,-1.88e-01,
981,1.44e-01,
982,1.52e-01,
983,-1.96e-01,
984,1.64e-01,
985,-2.00e-01,
986,1.48e-01,
987,-1.96e-01,
988,-2.04e-01,
989,1.48e-01,
990,-2.04e-01,
991,1.44e-01,
992,-1.52e-01,
993,1.44e-01,
994,-1.88e-01,
995,1.48e-01,
996,1.44e-01,
997,-1.44e-01,
998,1.44e-01,
999,-1.68e-01,
1000,-1.92e-01,
1001,1.40e-01,
1002,-1.84e-01,
1003,1.28e-01,
1004,-1.72e-01,
1005,1.20e-01,
1006,1.40e-01,
1007,-1.44e-01,
1008,1.44e-01,
1009,-1.76e-01,
1010,-1.84e-01,
1011,1.56e-01,
1012,1.72e-01,
1013,-2.24e-01,
1014,-2.56e-01,
1015,1.72e-01,
1016,1.84e-01,
1017,-2.08e-01,
1018,-2.72e-01,
1019,1.76e-01,
1020,1.76e-01,
1021,-2.68e-01,
1022,1.56e-01,
1023,-2.64e-01,
1024,-2.32e-01,
1025,1.52e-01,
1026,-2.56e-01,
1027,2.00e-01,
1028,1.64e-01,
1029,-2.20e-01,
1030,1.52e-01,
1031,-1.72e-01,
1032,-1.56e-01,
1033,1.64e-01,
1034,1.56e-01,
1035,-2.04e-01,
1036,-1.80e-01,
1037,1.68e-01,
1038,-2.04e-01,
1039,1.68e-01,
1040,-1.96e-01,
1041,1.48e-01,
1042,-2.00e-01,
1043,1.36e-01,
1044,1.44e-01,
1045,-2.20e-01,
1046,-2.04e-01,
1047,1.40e-01,
1048,1.28e-01,
1049,-2.00e-01,
1050,1.36e-01,
1051,-1.76e-01,
1052,-2.04e-01,
1053,1.48e-01,
1054,-1.80e-01,
1055,1.40e-01,
1056,-2.04e-01,
1057,1.24e-01,
1058,1.40e-01,
1059,-2.12e-01,
1060,1.28e-01,
1061,-1.96e-01,
1062,-2.00e-01,
1063,1.44e-01,
1064,-1.88e-01,
1065,1.52e-01,
1066,1.52e-01,
1067,-1.96e-01,
1068,1.48e-01,
1069,-2.00e-01,
1070,-1.76e-01,
1071,1.68e-01,
1072,1.40e-01,
1073,-1.88e-01,
1074,-1.88e-01,
1075,1.56e-01,
1076,-1.72e-01,
1077,1.36e-01,
1078,-2.00e-01,
1079,1.56e-01,
1080,1.52e-01,
1081,-1.84e-01,
1082,-1.80e-01,
1083,1.16e-01,
1084,1.20e-01,
1085,-1.92e-01,
1086,-1.76e-01,
1087,1.36e-01,
1088,1.44e-01,
1089,-1.80e-01,
1090,1.40e-01,
1091,-1.64e-01,
1092,-1.60e-01,
1093,1.56e-01,
1094,-2.08e-01,
1095,1.72e-01,
1096,1.84e-01,
1097,-2.20e-01,
1098,-2.28e-01,
1099,1.88e-01,
1100,-2.56e-01,
1101,1.96e-01,
1102,-2.68e-01,
1103,1.80e-01,
1104,-2.44e-01,
1105,1.72e-01,
1106,1.72e-01,
1107,-2.24e-01,
1108,1.68e-01,
1109,-2.28e-01,
1110,1.92e-01,
1111,-2.28e-01,
1112,-1.76e-01,
1113,1.36e-01,
1114,-1.96e-01,
1115,1.68e-01,
1116,-1.68e-01,
1117,1.48e-01,
1118,1.68e-01,
1119,-1.64e-01,
1120,-2.04e-01,
1121,1.36e-01,
1122,1.48e-01,
1123,-1.92e-01,
1124,1.48e-01,
1125,-1.84e-01,
1126,1.36e-01,
1127,-2.12e-01,
1128,1.32e-01,
1129,-2.08e-01,
1130,1.44e-01,
1131,-2.08e-01,
1132,1.44e-01,
1133,-1.80e-01,
1134,-2.04e-01,
1135,1.36e-01,
1136,1.44e-01,
1137,-1.80e-01,
1138,1.48e-01,
1139,-1.80e-01,
1140,-1.96e-01,
1141,1.36e-01,
1142,-1.92e-01,
1143,1.36e-01,
1144,-1.84e-01,
1145,1.48e-01,
1146,-2.00e-01,
1147,1.48e-01,
1148,-2.12e-01,
1149,1.56e-01,
1150,-2.16e-01,
1151,1.64e-01,
1152,-1.76e-01,
1153,1.48e-01,
1154,1.48e-01,
1155,-1.44e-01,
1156,1.32e-01,
1157,-1.80e-01,
1158,-2.00e-01,
1159,1.40e-01,
1160,-1.80e-01,
1161,1.44e-01,
1162,-1.88e-01,
1163,1.48e-01,
1164,-1.92e-01,
1165,1.48e-01,
1166,-1.84e-01,
1167,1.48e-01,
1168,-1.40e-01,
1169,1.20e-01,
1170,-1.36e-01,
1171,1.44e-01,
1172,1.52e-01,
1173,-1.80e-01,
1174,-1.52e-01,
1175,1.40e-01,
1176,-1.76e-01,
1177,1.48e-01,
1178,1.68e-01,
1179,-2.16e-01,
1180,1.56e-01,
1181,-2.48e-01,
1182,1.84e-01,
1183,-2.60e-01,
1184,-2.56e-01,
1185,1.88e-01,
1186,-2.56e-01,
1187,1.64e-01,
1188,1.56e-01,
1189,-2.12e-01,
1190,1.48e-01,
1191,-2.12e-01,
1192,-1.92e-01,
1193,1.68e-01,
1194,-1.80e-01,
1195,1.72e-01,
1196,1.64e-01,
1197,-1.56e-01,
1198,1.60e-01,
1199,-1.64e-01,
